Name,Age,Height,Weight,Gender,Hair Colour,Skin Colour,Profession,Allergies,Commitment,Work Preference
Landon Edwards,38,161,108,Female,Grey,Olive,Nurse,Perfumes/Household Chemicals,Long Term,Team
Ethan Adams,53,169,78,Female,Blonde,Dark,Artist,Latex,Long Term,Solo
Jaden Watson,64,167,86,Male,Grey,Dark,Writer,Medications,Long Term,Solo
Shawn Martinez,36,152,86,Male,Blonde,Tan,Nurse,Latex,Short Term,Team
Tristan Gray,35,185,84,Male,Black,Brown,Scientist,Pollen,Short Term,Team
Patrick Peterson,32,190,79,Male,Black,Tan,Developer,Latex,Short Term,Team
Alex James,28,176,110,Female,White,Medium,Nurse,Dust Mites,Long Term,Team
Shawn Thomas,59,186,79,Male,Brown,Tan,Doctor,No allergies,Long Term,Solo
Connor Alexander,36,152,51,Female,Grey,Brown,Engineer,Dust Mites,Long Term,Solo
Oliver Ramirez,51,181,67,Female,Blonde,Medium,Engineer,Dust Mites,Short Term,Solo
Oliver Hill,63,161,51,Female,Blonde,Brown,Artist,Animals,Long Term,Solo
Kevin Perez,23,175,62,Male,Brown,Tan,Developer,Pollen,Short Term,Solo
Jesse Wright,46,198,84,Female,Blonde,Brown,Scientist,No allergies,Long Term,Solo
Reid Wright,21,192,65,Female,Blonde,Medium,Chef,Insect Stings,Long Term,Team
Nolan Gonzalez,41,189,78,Male,Brown,Tan,Doctor,Latex,Long Term,Solo
Robert James,48,198,118,Male,Brown,Dark,Scientist,Foods,Long Term,Solo
Cameron Hughes,31,195,112,Male,Grey,Tan,Teacher,Latex,Short Term,Solo
Matteo Taylor,20,177,94,Male,Grey,Light,Engineer,Latex,Short Term,Solo
Keegan Patterson,64,184,104,Female,Brown,Medium,Musician,Dust Mites,Short Term,Solo
Cooper Foster,25,152,103,Male,Brown,Medium,Engineer,Foods,Short Term,Solo
Michael Patterson,63,153,81,Male,Red,Tan,Artist,Insect Stings,Short Term,Team
Chase Howard,36,164,90,Female,Brown,Olive,Doctor,Insect Stings,Short Term,Solo
Ian Adams,21,185,72,Female,Grey,Tan,Teacher,Dust Mites,Long Term,Solo
Robert Rogers,44,159,88,Female,Brown,Brown,Musician,Pollen,Short Term,Solo
Wyatt Butler,27,179,57,Female,Red,Brown,Writer,Animals,Long Term,Team
Evan Allen,39,191,60,Female,Blonde,Light,Writer,Pollen,Short Term,Solo
Jayden Patterson,56,188,55,Male,Brown,Brown,Writer,Pollen,Long Term,Team
Jackson Nelson,18,163,74,Male,White,Tan,Artist,Perfumes/Household Chemicals,Short Term,Solo
Elliot James,38,199,86,Female,Red,Brown,Developer,Mold,Long Term,Solo
Kevin Cox,47,156,110,Female,Brown,Olive,Developer,Medications,Short Term,Team
Sean Martinez,19,166,120,Female,Blonde,Medium,Artist,Dust Mites,Short Term,Solo
Luke Lopez,49,185,93,Female,Red,Dark,Musician,Latex,Short Term,Solo
Cole Garcia,64,184,112,Male,Grey,Dark,Teacher,Insect Stings,Short Term,Team
Trevor Long,21,198,50,Female,Brown,Dark,Artist,Foods,Short Term,Team
Dylan Howard,47,173,57,Female,White,Tan,Teacher,No allergies,Long Term,Team
Taylor Peterson,64,167,118,Female,Black,Brown,Chef,Animals,Short Term,Team
Landon Robinson,33,162,117,Female,Blonde,Olive,Chef,Foods,Long Term,Solo
Jayden James,48,153,51,Male,Black,Tan,Chef,Dust Mites,Short Term,Team
Victor Mitchell,19,163,68,Female,Black,Olive,Doctor,Perfumes/Household Chemicals,Short Term,Solo
Peter Ramirez,39,174,67,Male,Grey,Dark,Developer,No allergies,Short Term,Solo
Elijah Taylor,39,188,100,Female,Black,Dark,Nurse,Latex,Long Term,Team
Jake James,42,177,73,Female,Black,Brown,Nurse,Pollen,Short Term,Team
Kai Parker,35,156,66,Male,Brown,Tan,Musician,Insect Stings,Long Term,Team
Casey Thomas,40,185,61,Female,Red,Light,Nurse,Medications,Long Term,Team
Samuel Watson,33,186,116,Male,White,Tan,Doctor,Animals,Long Term,Solo
Gavin Cox,27,154,71,Female,Blonde,Tan,Nurse,Latex,Short Term,Solo
Evan Lopez,64,190,113,Male,Red,Light,Doctor,Mold,Short Term,Solo
Jackson Ross,42,171,106,Female,Red,Dark,Scientist,Animals,Long Term,Solo
Miles Flores,30,180,90,Male,Red,Olive,Nurse,Latex,Short Term,Solo
Jayden Adams,43,173,64,Male,Grey,Brown,Doctor,Insect Stings,Short Term,Solo
Ryan Allen,46,168,58,Female,White,Tan,Doctor,Mold,Short Term,Solo
Liam Brown,41,194,118,Male,Black,Medium,Developer,Animals,Short Term,Solo
Seth Roberts,45,156,51,Male,Blonde,Medium,Writer,Insect Stings,Short Term,Solo
Jasper Stewart,47,199,114,Male,Blonde,Light,Musician,Foods,Long Term,Solo
Aiden Harris,64,159,94,Female,Blonde,Tan,Artist,Insect Stings,Long Term,Solo
Keith Jackson,46,196,107,Female,Black,Olive,Teacher,Foods,Short Term,Solo
Oliver White,61,160,81,Male,Grey,Medium,Developer,Insect Stings,Long Term,Solo
Elijah Sanchez,58,161,73,Female,Red,Light,Scientist,Pollen,Long Term,Solo
Jesse Smith,63,163,76,Female,White,Light,Scientist,Foods,Short Term,Solo
Jack Hall,47,157,83,Female,Grey,Dark,Developer,Perfumes/Household Chemicals,Long Term,Solo
Max Harris,40,172,108,Male,White,Dark,Nurse,Perfumes/Household Chemicals,Short Term,Team
Jace Martin,33,169,64,Male,Blonde,Dark,Doctor,Insect Stings,Long Term,Solo
Michael Garcia,54,174,104,Male,Red,Dark,Writer,Animals,Short Term,Solo
Hayden Garcia,29,170,107,Male,Blonde,Light,Musician,Animals,Short Term,Solo
Lucas Howard,59,181,102,Female,Red,Dark,Musician,Latex,Short Term,Team
Luke Jones,32,168,54,Female,Brown,Brown,Nurse,Animals,Long Term,Solo
Logan Ward,25,186,64,Female,Grey,Olive,Writer,No allergies,Long Term,Team
Joshua White,65,191,81,Female,Black,Tan,Nurse,Dust Mites,Short Term,Solo
Carson Hayes,33,163,94,Female,Brown,Brown,Doctor,Pollen,Short Term,Team
Luke Phillips,52,167,118,Male,Blonde,Dark,Nurse,Mold,Long Term,Team
Chase Russell,44,153,85,Male,White,Medium,Artist,Animals,Long Term,Team
Shane Patterson,43,181,68,Female,White,Tan,Chef,Latex,Short Term,Team
Jonah Ward,65,167,97,Female,Red,Olive,Scientist,No allergies,Short Term,Solo
Nolan Long,62,172,58,Female,Brown,Tan,Artist,Latex,Long Term,Solo
Troy Baker,39,185,66,Female,Blonde,Dark,Teacher,No allergies,Short Term,Solo
Taylor Martin,28,178,108,Male,Red,Medium,Doctor,Mold,Short Term,Solo
Avery Perry,41,166,60,Female,White,Dark,Doctor,No allergies,Long Term,Solo
Samuel Washington,32,177,61,Male,Black,Medium,Musician,Foods,Short Term,Team
Kyle Hughes,46,150,51,Female,Black,Tan,Doctor,Latex,Short Term,Team
Jesse Thomas,64,156,63,Female,Blonde,Olive,Doctor,Medications,Short Term,Team
Dakota Peterson,54,150,71,Female,Blonde,Dark,Artist,Animals,Long Term,Solo
Dylan Thomas,24,158,65,Female,Blonde,Tan,Developer,Animals,Short Term,Solo
Oliver Anderson,33,185,86,Male,White,Olive,Artist,Insect Stings,Short Term,Solo
Hunter Jenkins,21,200,80,Female,Red,Light,Artist,Latex,Short Term,Team
James Mitchell,26,174,103,Female,Grey,Dark,Doctor,Latex,Short Term,Team
Leo Perez,43,187,58,Female,White,Tan,Artist,No allergies,Short Term,Team
Julian Harris,47,189,57,Female,White,Dark,Doctor,Foods,Short Term,Team
Jackson Reed,35,183,58,Female,White,Brown,Engineer,Latex,Long Term,Solo
Charlie Cox,54,160,97,Male,Blonde,Light,Scientist,Foods,Short Term,Team
Jamie Johnson,33,152,110,Female,Red,Medium,Doctor,No allergies,Long Term,Team
Jack Lopez,44,196,90,Female,Black,Brown,Developer,Foods,Short Term,Team
Eli Torres,20,175,58,Female,Blonde,Olive,Developer,Foods,Long Term,Team
Jasper Hall,36,186,88,Male,Red,Olive,Scientist,Latex,Short Term,Team
Victor Bryant,64,169,63,Male,Grey,Medium,Chef,Latex,Short Term,Team
Sam Adams,23,152,79,Female,White,Olive,Musician,Foods,Short Term,Team
Nolan Stewart,22,187,57,Female,White,Medium,Artist,Mold,Long Term,Solo
Thomas Stewart,62,197,91,Female,Red,Olive,Artist,Foods,Short Term,Team
Leo Campbell,31,178,89,Female,Blonde,Light,Engineer,Animals,Long Term,Team
Dylan Perez,27,155,81,Female,Red,Brown,Teacher,Mold,Long Term,Team
Casey Sanchez,46,185,120,Male,Black,Tan,Engineer,Animals,Short Term,Team
Charlie Hayes,32,158,75,Female,Blonde,Dark,Engineer,Perfumes/Household Chemicals,Long Term,Team
Taylor Moore,30,191,106,Male,Black,Olive,Engineer,No allergies,Long Term,Team
Cole Kelly,45,196,100,Female,Black,Tan,Chef,Animals,Long Term,Team
Connor Adams,35,178,69,Male,Grey,Brown,Scientist,Pollen,Long Term,Solo
Jordan James,48,153,61,Female,Red,Medium,Chef,Pollen,Short Term,Team
Jayden Simmons,40,180,119,Female,Blonde,Brown,Writer,Dust Mites,Long Term,Solo
Connor Jones,38,188,78,Male,Blonde,Light,Musician,Insect Stings,Long Term,Team
Cody Jackson,33,192,80,Female,Grey,Dark,Teacher,Pollen,Long Term,Solo
Tyler Lewis,29,165,90,Female,Grey,Light,Developer,Perfumes/Household Chemicals,Short Term,Team
Landon Cooper,18,171,75,Male,Blonde,Dark,Doctor,Dust Mites,Short Term,Team
Chris Price,63,159,64,Female,Black,Olive,Chef,Perfumes/Household Chemicals,Short Term,Solo
Ian Perez,26,160,105,Female,White,Olive,Doctor,Insect Stings,Long Term,Team
Patrick Price,29,174,89,Female,Brown,Medium,Teacher,Perfumes/Household Chemicals,Long Term,Team
Connor Wood,38,189,78,Male,Red,Medium,Developer,Foods,Short Term,Solo
Evan White,64,150,56,Female,Red,Dark,Chef,Animals,Long Term,Solo
Jayden Phillips,52,174,62,Female,Grey,Dark,Artist,Animals,Long Term,Team
Thomas Brown,36,151,90,Female,Black,Light,Developer,Animals,Long Term,Team
Morgan Jackson,39,163,74,Female,White,Brown,Writer,Mold,Long Term,Solo
Elliot Jackson,21,175,120,Female,Brown,Light,Developer,No allergies,Long Term,Team
Keith Harris,37,200,100,Female,Red,Dark,Nurse,Foods,Long Term,Team
Jasper Edwards,41,161,107,Male,Blonde,Tan,Musician,Mold,Short Term,Solo
Luke Wilson,27,198,62,Male,White,Olive,Writer,Medications,Short Term,Team
Tyler Collins,51,176,118,Female,Grey,Medium,Musician,Mold,Short Term,Solo
Wyatt Simmons,20,182,116,Male,Black,Tan,Doctor,Animals,Short Term,Team
Carter Davis,45,155,105,Male,White,Medium,Scientist,Mold,Long Term,Team
Avery Collins,53,175,120,Female,Blonde,Brown,Musician,No allergies,Long Term,Team
Finn Collins,59,181,110,Male,Brown,Olive,Chef,Animals,Long Term,Team
John Roberts,62,165,56,Female,Blonde,Olive,Teacher,Dust Mites,Long Term,Solo
Grayson Richardson,62,193,62,Male,Brown,Olive,Musician,Dust Mites,Long Term,Solo
Miles Jenkins,23,162,106,Male,Red,Dark,Musician,Insect Stings,Long Term,Team
Kevin Clark,22,169,114,Female,Brown,Brown,Scientist,No allergies,Short Term,Team
Troy Hall,21,165,54,Female,Black,Olive,Artist,Mold,Long Term,Solo
Kendall Stewart,58,157,53,Male,Blonde,Tan,Scientist,Latex,Short Term,Solo
Morgan Clark,54,199,77,Male,White,Medium,Artist,Mold,Long Term,Team
Miles Carter,63,195,85,Female,Red,Olive,Musician,Mold,Short Term,Solo
Ian Patterson,51,189,100,Male,Black,Brown,Developer,Insect Stings,Long Term,Solo
Quentin White,48,154,93,Female,White,Olive,Nurse,Mold,Long Term,Team
Christian Torres,33,153,101,Female,White,Medium,Teacher,Latex,Long Term,Solo
Joseph Sanchez,42,197,54,Male,Blonde,Dark,Artist,Insect Stings,Long Term,Solo
Kendall Nelson,28,192,73,Female,Black,Tan,Doctor,Mold,Short Term,Solo
Owen Thomas,32,172,78,Female,Red,Olive,Developer,Mold,Long Term,Solo
Victor Martin,48,153,59,Female,Brown,Brown,Engineer,Medications,Long Term,Solo
Morgan Robinson,26,162,93,Female,Grey,Tan,Doctor,Dust Mites,Short Term,Team
Kelsey Roberts,58,161,90,Male,Black,Tan,Nurse,Pollen,Short Term,Team
Kelsey Griffin,23,158,105,Female,Red,Tan,Musician,Medications,Short Term,Team
Reid Phillips,37,158,63,Female,Grey,Brown,Nurse,Animals,Short Term,Team
Ian Gonzalez,47,196,116,Female,Red,Dark,Doctor,Dust Mites,Long Term,Solo
Seth Walker,28,175,52,Male,Brown,Dark,Doctor,Pollen,Short Term,Team
Carson Parker,63,191,54,Female,White,Olive,Writer,Perfumes/Household Chemicals,Short Term,Team
Parker White,59,151,56,Male,Red,Tan,Chef,Foods,Long Term,Solo
Robert Robinson,31,194,51,Female,Red,Dark,Engineer,Insect Stings,Long Term,Team
Joseph White,50,196,65,Female,Black,Light,Musician,Pollen,Short Term,Solo
Troy Torres,30,172,102,Female,Brown,Light,Writer,Latex,Short Term,Solo
Jackson Wright,18,150,61,Male,Grey,Dark,Musician,Animals,Short Term,Team
Jamie Gonzalez,41,193,90,Female,White,Light,Engineer,No allergies,Short Term,Team
Cameron Sanchez,43,179,84,Female,White,Tan,Chef,Animals,Short Term,Team
Robert Foster,21,160,63,Female,Grey,Tan,Scientist,Latex,Short Term,Solo
Sidney Campbell,57,151,66,Female,Red,Light,Chef,Latex,Short Term,Team
Finn Perry,38,150,117,Male,White,Olive,Writer,Insect Stings,Short Term,Solo
Parker Gonzales,33,180,94,Female,Brown,Brown,Scientist,No allergies,Short Term,Team
Kendall Rivera,49,160,59,Female,Blonde,Medium,Developer,Mold,Short Term,Team
Logan Jenkins,42,175,80,Male,Red,Tan,Scientist,Latex,Short Term,Solo
Kaiden Mitchell,25,181,52,Male,Red,Tan,Teacher,Insect Stings,Short Term,Team
Tanner Wood,57,190,88,Male,White,Dark,Musician,Dust Mites,Long Term,Team
Trevor Hernandez,47,171,110,Female,White,Tan,Engineer,Foods,Short Term,Team
Jacob Campbell,58,168,120,Female,White,Light,Teacher,Animals,Long Term,Team
Dylan Murphy,30,195,93,Male,Red,Light,Scientist,Foods,Long Term,Solo
Parker Price,50,158,113,Male,Grey,Dark,Teacher,Insect Stings,Long Term,Solo
